"path","hash","lines"
"C:\Users\Junior\.codex\.tmp\plugins\plugins\build-web-apps\skills\react-best-practices\AGENTS.md","9BE040CB069DF26F7F788152AEF8DA753B69D15836F2C0D1FC870F8A68AA3A20","3374"
"C:\Users\Junior\.codex\.tmp\plugins\plugins\build-web-apps\skills\supabase-best-practices\AGENTS.md","F3336D9942583A30DF20E4BAD03ADEB48D1F246583999979E5CCEB215BDA55E9","68"
"C:\Users\Junior\.codex\.tmp\plugins\plugins\zoom\AGENTS.md","6632C3523FB0B61E98D689724CEAA19FD3F7D9DC50AFF78C5E4C891A441EE3DE","13"
"C:\Users\Junior\.codex\AGENTS.md","2F301138FFBFC22D3BC0D28B52AA95FAFDF62902C7BB7896BACA97AF07208141","23"
"C:\Users\Junior\.codex\hub-branch-close-backups\2026-09-07\codex-module-content-release\AGENTS.md","387A6DAB4BEF575A9D61663B8CE4F509C98E6761429019C4E00CF3417DFCD128","245"
"C:\Users\Junior\.codex\hub-branch-close-backups\2026-09-07\codex-refine-locked-content-ui\AGENTS.md","01F1AC4AE9CC647584BEE3C95EEB8B8677FAF0DDA024115F59B8E04A942CD0A6","255"
"C:\Users\Junior\.codex\plugins\cache\openai-curated-remote\vercel\0.21.4\skills\react-best-practices\AGENTS.md","40464BEA9EBA07B971BD4374214881DED3F54235129F531C65FFCADD35F3C022","3374"
"C:\Users\Junior\.codex\skills\vercel-react-best-practices\AGENTS.md","729C2125356629E19F03175D7F01441EA484E5EF7C4115CE01D4CF151A07AB4F","2517"
"C:\Users\Junior\.codex\superpowers\AGENTS.md","6EBDB617A8104A7756D0CF36578AB01103DC9F07E4DC6FEB751296B9C402FAF7","1"
"C:\Users\Junior\.zcode\cli\plugins\cache\claude-plugins-official\resend\1.0.5\AGENTS.md","5616A786D24E9E62CF4B15E48148C5BB39D467F4CA8B393E067405D36DD988D6","20"
"C:\Users\Junior\.zcode\cli\plugins\cache\claude-plugins-official\superpowers\6.3.0\AGENTS.md","6EBDB617A8104A7756D0CF36578AB01103DC9F07E4DC6FEB751296B9C402FAF7","1"
"C:\Users\Junior\.zcode\cli\plugins\cache\claude-plugins-official\vercel\0.45.1\skills\react-best-practices\AGENTS.md","40464BEA9EBA07B971BD4374214881DED3F54235129F531C65FFCADD35F3C022","3374"
"C:\Users\Junior\.zcode\cli\plugins\cache\claude-plugins-official\vercel\0.45.1\skills\react-best-practices\upstream\AGENTS.md","40464BEA9EBA07B971BD4374214881DED3F54235129F531C65FFCADD35F3C022","3374"
"C:\Users\Junior\Documents\0 - Dev\araute\AGENTS.md","A702EFD4185DE4952ACB44F33CBAFE57D2B8C2EAB7DB6A56622E0C4860BED562","126"
"C:\Users\Junior\Documents\0 - Dev\araute\tests\fixtures\consumer-standard-src\AGENTS.md","E3447D84251880FB34CFAE09131CB4C57471529BBFE60976A3245793CF621627","6"
"C:\Users\Junior\Documents\0 - Dev\araute\tests\fixtures\consumer-standard\AGENTS.md","E3447D84251880FB34CFAE09131CB4C57471529BBFE60976A3245793CF621627","6"
"C:\Users\Junior\Documents\0 - Dev\Hub Imports\.agents\skills\vercel-composition-patterns\AGENTS.md","AD5B5DE8EEF5C67B7FA370EA8F9CA79E9E17E3C1727E71AF612B699FC90C9C90","947"
"C:\Users\Junior\Documents\0 - Dev\Hub Imports\.agents\skills\vercel-react-best-practices\AGENTS.md","098654FE2DEFD9B9B5CDA1159CA518BB01D844D223BE3B42094AE3309357718E","3503"
"C:\Users\Junior\Documents\0 - Dev\Hub Imports\AGENTS.md","2BAD42918A7C3EDFAD2B68120B23E86A2D90311E7A5F039586D187DF96C841D5","247"
"C:\Users\Junior\Documents\0 - Dev\Hub Imports\node_modules\.bun\recharts@3.8.0+7e0d3f1b2a5afcc6\node_modules\recharts\AGENTS.md","544B6D37EFA470B0B6A9D70006696149D75E35C66159E83F475D2ADB3AC03171","27"
"C:\Users\Junior\Documents\0 - Dev\Hub Imports\node_modules\.bun\recharts@3.8.0+d7177e09e3f76f07\node_modules\recharts\AGENTS.md","544B6D37EFA470B0B6A9D70006696149D75E35C66159E83F475D2ADB3AC03171","27"
"C:\Users\Junior\Documents\0 - Dev\Hub Imports\node_modules\.old_modules-86a74a511fe60b79\recharts\AGENTS.md","544B6D37EFA470B0B6A9D70006696149D75E35C66159E83F475D2ADB3AC03171","27"
"C:\Users\Junior\Documents\0 - Dev\hub\.agents\skills\vercel-composition-patterns\AGENTS.md","89E3DDD58FCF99A53A50E25DFD21B8CDE1BE5F10B7DF6BACD3DFA6796932F516","947"
"C:\Users\Junior\Documents\0 - Dev\hub\.agents\skills\vercel-react-best-practices\AGENTS.md","D9DD1BEED8B049858922F743BCEAE895875FAD86F26AE6FB1D6EB6F5F503466D","3811"
"C:\Users\Junior\Documents\0 - Dev\hub\AGENTS.md","01F1AC4AE9CC647584BEE3C95EEB8B8677FAF0DDA024115F59B8E04A942CD0A6","255"
